MAJIREL#8.3 WEIGHING REPORT,Net,Net unit,Gross,Gross unit,Tare,Tare unit
BATCH NO. B8222685 (07/12/2016),52.2,gram,70,gram,17.8,gram
Timestamp,52.2,gram,70,gram,17.8,gram
12/8/2016 12:15,52.2,gram,70,gram,17.8,gram
12/8/2016 12:15,52.2,gram,70,gram,17.8,gram
12/8/2016 12:15,52.2,gram,70,gram,17.8,gram
12/8/2016 12:14,52.3,gram,70.1,gram,17.8,gram
12/8/2016 12:14,52.3,gram,70.1,gram,17.8,gram
12/8/2016 12:14,52.1,gram,69.9,gram,17.8,gram
12/8/2016 12:14,52.1,gram,69.9,gram,17.8,gram
12/8/2016 12:14,52.2,gram,70,gram,17.8,gram
12/8/2016 12:14,52.2,gram,70,gram,17.8,gram
12/8/2016 12:14,52.2,gram,70,gram,17.8,gram
12/8/2016 12:14,52.3,gram,70.1,gram,17.8,gram
12/8/2016 12:14,52.2,gram,70,gram,17.8,gram
12/8/2016 12:14,52.1,gram,69.9,gram,17.8,gram
12/8/2016 12:14,52.1,gram,69.9,gram,17.8,gram
12/8/2016 12:13,52.1,gram,69.9,gram,17.8,gram
12/8/2016 12:13,52,gram,69.8,gram,17.8,gram
12/8/2016 12:13,52.2,gram,70,gram,17.8,gram
12/8/2016 12:13,52.1,gram,69.9,gram,17.8,gram
12/8/2016 12:13,52.2,gram,70,gram,17.8,gram
12/8/2016 12:13,52.2,gram,70,gram,17.8,gram
12/8/2016 12:13,52.2,gram,70,gram,17.8,gram
12/8/2016 12:13,52.2,gram,70,gram,17.8,gram
12/8/2016 12:12,52.2,gram,70,gram,17.8,gram
12/8/2016 12:12,52.2,gram,70,gram,17.8,gram
12/8/2016 12:11,52.2,gram,70,gram,17.8,gram
12/8/2016 12:11,52.2,gram,70,gram,17.8,gram
12/8/2016 12:11,52.2,gram,70,gram,17.8,gram
12/8/2016 12:11,52.2,gram,70,gram,17.8,gram
12/8/2016 12:11,52.2,gram,70,gram,17.8,gram
12/8/2016 12:11,52,gram,69.8,gram,17.8,gram
12/8/2016 12:11,52.2,gram,70,gram,17.8,gram
12/8/2016 12:11,52.1,gram,69.9,gram,17.8,gram
12/8/2016 12:11,52.2,gram,70,gram,17.8,gram
12/8/2016 12:11,52.1,gram,69.9,gram,17.8,gram
12/8/2016 12:11,52.3,gram,70.1,gram,17.8,gram
12/8/2016 12:11,52.2,gram,70,gram,17.8,gram
12/8/2016 12:10,52.1,gram,69.9,gram,17.8,gram
12/8/2016 12:10,52.1,gram,69.9,gram,17.8,gram
12/8/2016 12:10,52.2,gram,70,gram,17.8,gram
12/8/2016 12:10,52.2,gram,70,gram,17.8,gram
12/8/2016 12:10,52.1,gram,69.9,gram,17.8,gram
12/8/2016 12:10,52,gram,69.8,gram,17.8,gram
12/8/2016 12:10,52,gram,69.8,gram,17.8,gram
12/8/2016 12:10,52,gram,69.8,gram,17.8,gram
